,char,area,perimeter,roundness,ratio
1164,E,1643.5,163.9827550649643,0.7676495336655768,1.3
1165,E,1628.0,168.22539567947388,0.7225383833155601,1.394736842105263
1166,E,1729.0,172.56854152679443,0.7292247082146699,1.5
1167,E,1415.5,163.49747383594513,0.6650854078243291,1.65625
1168,E,1620.5,166.81118214130402,0.731456249090449,1.358974358974359
1169,E,1641.0,167.0538227558136,0.7385593218448994,1.394736842105263
1170,E,2003.5,185.29646337032318,0.7329000065097245,1.2954545454545454
1171,E,2074.0,185.88224983215332,0.7539152892061043,1.288888888888889
1172,E,1542.5,161.49747383594513,0.7428195841859729,1.3783783783783783
1173,E,1727.5,175.9827550649643,0.7005957050524022,1.5
1174,E,1409.5,163.15432798862457,0.6650549373968251,1.606060606060606
1175,E,1621.5,163.9827550649643,0.7573737260959736,1.394736842105263
1176,E,1717.5,174.81118214130402,0.7059077757052142,1.4615384615384615
1177,E,1716.0,175.39696860313416,0.70058810059076,1.5405405405405406
1178,E,1545.5,159.01219260692596,0.7677110588558683,1.3783783783783783
1179,E,1648.0,168.22539567947388,0.7314147762309847,1.358974358974359
1180,E,1435.5,161.49747383594513,0.6912917426897662,1.606060606060606
1181,E,1725.5,173.15432798862457,0.7228328820507322,1.5
1182,E,1377.0,152.42640614509583,0.7443945064666344,1.2162162162162162
1183,E,1384.0,161.7401144504547,0.6644927353746576,1.625
1184,E,1438.5,162.32590091228485,0.6856837572347956,1.606060606060606
1185,E,1424.0,162.56854152679443,0.6767474214508488,1.606060606060606
1186,E,1547.5,160.6690467596054,0.7529321867612317,1.3783783783783783
1187,E,1722.0,173.39696860313416,0.7193492334235991,1.5
1188,E,1642.0,167.0538227558136,0.7390093884639395,1.358974358974359
1189,E,1540.0,162.08326029777527,0.7362647907816828,1.3783783783783783
1190,E,1575.5,166.46803629398346,0.7140791193806605,1.1428571428571428
1191,E,1626.0,164.22539567947388,0.7572330256159275,1.358974358974359
1192,E,1694.5,172.32590091228485,0.7166879413272293,1.5405405405405406
1193,E,1348.5,156.32590091228485,0.6930725681021987,1.59375
1194,E,1617.5,163.49747383594513,0.7599969248716724,1.3333333333333333
1195,E,1423.5,163.15432798862457,0.6716606622095641,1.65625
1196,E,1397.0,155.7401144504547,0.7234109304401991,1.1842105263157894
1197,E,1533.0,160.42640614509583,0.748135193374658,1.4166666666666667
1198,E,1643.5,168.46803629398346,0.7273179743793377,1.358974358974359
1199,E,1388.5,152.6690467596054,0.748227275341829,1.2162162162162162
1200,E,1608.5,165.63960921764374,0.7363466412457208,1.394736842105263
